n_layer1;n_layer2;dropout_1;dropout_2;act;optim;n_batch;best_val_acc
256;256;0.34444346094577394;0.42752394405896715;leakyrelu;adam;256;0.8763
256;512;0.4092520101190296;0.10119705997565419;relu;adam;128;0.8851
512;256;0.43749209395199173;0.07357812346049364;relu;rmsprop;256;0.8906
256;256;0.32163323439229635;0.036617280201137484;relu;adam;128;0.8727
128;256;0.1437844409618561;0.06254874960391804;swish;sgd;64;0.8547
256;256;0.33659696140230433;0.1740917409787054;relu;adam;256;0.8793
256;512;0.18814947629911272;0.12976745007187546;relu;adam;128;0.8903
512;256;0.296389720495343;0.08970470868040274;leakyrelu;rmsprop;256;0.8756
256;256;0.2252788689332867;0.00032253557074836403;relu;adam;128;0.8883
256;256;0.2464329374087746;0.11379620785422909;relu;adam;256;0.887
512;256;0.27555712531889726;0.1611929691247062;relu;rmsprop;128;0.8873
256;512;0.37046953428418344;0.19610686320060808;swish;sgd;64;0.8417
128;256;0.3058146531675311;0.02069016210250091;relu;adam;256;0.892
256;256;0.393434654544592;0.14136283844838965;relu;adam;128;0.8912
512;256;0.4220748501691316;0.2575580743147592;leakyrelu;rmsprop;256;0.8555
256;256;0.2570824292576831;0.2960411872176534;relu;adam;128;0.8915
256;256;0.463226823674335;0.20879259085049856;relu;adam;256;0.8898
512;256;0.35912762353480165;0.12002332000144034;relu;rmsprop;128;0.8861
256;512;0.48466257573245636;0.23543883735533813;swish;adam;64;0.8884
128;256;0.379770989385303;0.10046087344094057;relu;sgd;256;0.8562
256;128;0.027264456485173727;0.2747504661068188;relu;adam;128;0.8955
256;256;0.3330914202169607;0.08031021859862908;leakyrelu;rmsprop;256;0.8412
512;512;0.2138523944911953;0.18380231456396945;relu;adam;128;0.8945
256;256;0.2864474654500351;0.15489380485845547;relu;adam;256;0.888
256;128;0.154437569324766;0.13437063451375997;relu;rmsprop;128;0.8823
512;256;0.40473258118106575;0.07113984004359653;swish;adam;64;0.8825
128;128;0.3168121193885517;0.01216372779717989;relu;sgd;256;0.8531
256;256;0.07770310987726473;0.17068130368142512;relu;adam;128;0.8917
512;256;0.4711628194534122;0.04172995344230382;leakyrelu;rmsprop;256;0.8583
256;512;0.3490216485439528;0.05450594668971795;relu;adam;128;0.8853
256;128;0.4415801359744418;0.3104746100856739;relu;adam;256;0.8846
512;256;0.2650722364237127;0.08539499617730914;relu;rmsprop;128;0.8862
